Date,NAV
2023-10-25 18:30:00,30.95
2023-10-26 18:30:00,31.37
2023-10-29 18:30:00,31.41
2023-10-30 18:30:00,31.39
2023-10-31 18:30:00,31.4
2023-11-01 18:30:00,31.62
2023-11-02 18:30:00,31.87
2023-11-05 18:30:00,32.15
2023-11-06 18:30:00,32.13
2023-11-07 18:30:00,32.24
2023-11-08 18:30:00,32.11
2023-11-09 18:30:00,32.32
2023-11-12 18:30:00,32.65
2023-11-14 18:30:00,32.93
2023-11-15 18:30:00,33.03
2023-11-16 18:30:00,33.13
2023-11-19 18:30:00,33.13
2023-11-20 18:30:00,33.35
2023-11-21 18:30:00,33.18
2023-11-22 18:30:00,33.18
2023-11-23 18:30:00,33.2
2023-11-27 18:30:00,33.31
2023-11-28 18:30:00,33.43
2023-11-29 18:30:00,33.79
2023-11-30 18:30:00,33.99
2023-12-03 18:30:00,34.29
2023-12-04 18:30:00,34.37
2023-12-05 18:30:00,34.34
2023-12-06 18:30:00,34.39
2023-12-07 18:30:00,34.24
2023-12-10 18:30:00,34.41
2023-12-11 18:30:00,34.42
2023-12-12 18:30:00,34.55
2023-12-13 18:30:00,34.79
2023-12-14 18:30:00,34.99
2023-12-17 18:30:00,35.04
2023-12-18 18:30:00,35.09
2023-12-19 18:30:00,34.34
2023-12-20 18:30:00,34.67
2023-12-21 18:30:00,35.01
2023-12-25 18:30:00,35.01
2023-12-26 18:30:00,35.13
2023-12-27 18:30:00,35.24
2023-12-28 18:30:00,35.4
2023-12-31 18:30:00,35.51
